,id,type,links,attributes,relationships,comment
0,EPA-HQ-SFUND-2015-0781-2373,comments,{'self': 'https://api.regulations.gov/v4/comments/EPA-HQ-SFUND-2015-0781-2373'},"{'commentOn': '090000648245addc', 'commentOnDocumentId': 'EPA-HQ-SFUND-2015-0781-0001', 'duplicateComments': 1, 'address1': None, 'address2': None, 'agencyId': 'EPA', 'city': None, 'category': None, 'comment': '03/01/2017<br/><br/>Dear Administrator Pruitt,<br/><br/>I have some awareness of the issues at hand with hardrock mining. I live in Minnesota where we have our own &#39;hardrock&#39; mining issue in the proposed Polymet mine. The proposed mine is located in a water rich area near the BWCA. Last I heard the State is requiring the mining company to put up money for potential cleanup costs while the mining is in operation and into the future as the toxic waste sits in piles and ponds. Last I heard the mine will be in operation for some 30 years and will provide good paying jobs to hundreds of workers. In other words, the mine will provide jobs for two generations of workers, three at best. But the waste will sit there in a toxic state for two or three hundred years. In a time span of that nature no one can know how invulnerable the containment of the waste will be to environmental conditions. And the benefit of the jobs and taxes and fees paid by the mining company, and the mining company itself, will be long gone. So the state needs a guarantee that there will be sufficient funds to pay for maintenance and cleanup cost going forward after the mine is closed.<br/><br/>It seems to me a common sense proposal to require mining companies to put up money for future costs associated with the toxic waste generated by the mining operation.  This money should cover both ongoing containment as well as pollution cleanup caused by the waste leakage going into the future until the waste becomes benign. I suspect that engineers know that there designs for containing toxic waste generated by mining operations are not invulnerable to environmental affects on the the designs Mechanical Integrity. MI is defined as the management of critical process equipment to ensure it is designed and installed correctly, and that it operates and is maintained properly (i.e. no leaks and all elements are fit for service).<br/><br/>It is great that the mining operations will bring jobs to the local communities. It is great that the company will pay taxes and fees to government entities. But let mining not be a race to the bottom. Let us not compete with other countries, notably China, where mining operations are not well regulated and pollution is a guaranteed result of operations. We must insure that our own back yard is not turned into a waste land even if this puts mining operations at a competitive disadvantage with other countries.<br/><br/>Sincerely Yours,<br/><br/>Will Perry<br/>13415 Europa Ct N<br/>Unit 8<br/>Hugo, MN 55038<br/>6512460084<br/>', 'country': None, 'displayProperties': [{'name': 'pageCount', 'label': 'Page Count', 'tooltip': 'Number of pages In the content file'}], 'docAbstract': None, 'docketId': 'EPA-HQ-SFUND-2015-0781', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': None, 'govAgency': None, 'govAgencyType': None, 'objectId': '09000064824dfa0c', 'lastName': None, 'legacyId': None, 'modifyDate': '2017-03-03T02:37:48Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 1, 'phone': None, 'postedDate': '2017-03-02T05:00:00Z', 'postmarkDate': '2017-02-28T05:00:00Z', 'reasonWithdrawn': None, 'receiveDate': '2017-02-28T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': None, 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Public Comment', 'title': 'Comment submitted by W. Perry', 'trackingNbr': '1k1-8uzo-fqa3', 'withdrawn': False, 'zip': None, 'openForComment': False}","{'attachments': {'links': {'self': 'https://api.regulations.gov/v4/comments/EPA-HQ-SFUND-2015-0781-2373/relationships/attachments', 'related': 'https://api.regulations.gov/v4/comments/EPA-HQ-SFUND-2015-0781-2373/attachments'}}}","03/01/2017<br/><br/>Dear Administrator Pruitt,<br/><br/>I have some awareness of the issues at hand with hardrock mining. I live in Minnesota where we have our own &#39;hardrock&#39; mining issue in the proposed Polymet mine. The proposed mine is located in a water rich area near the BWCA. Last I heard the State is requiring the mining company to put up money for potential cleanup costs while the mining is in operation and into the future as the toxic waste sits in piles and ponds. Last I heard the mine will be in operation for some 30 years and will provide good paying jobs to hundreds of workers. In other words, the mine will provide jobs for two generations of workers, three at best. But the waste will sit there in a toxic state for two or three hundred years. In a time span of that nature no one can know how invulnerable the containment of the waste will be to environmental conditions. And the benefit of the jobs and taxes and fees paid by the mining company, and the mining company itself, will be long gone. So the state needs a guarantee that there will be sufficient funds to pay for maintenance and cleanup cost going forward after the mine is closed.<br/><br/>It seems to me a common sense proposal to require mining companies to put up money for future costs associated with the toxic waste generated by the mining operation.  This money should cover both ongoing containment as well as pollution cleanup caused by the waste leakage going into the future until the waste becomes benign. I suspect that engineers know that there designs for containing toxic waste generated by mining operations are not invulnerable to environmental affects on the the designs Mechanical Integrity. MI is defined as the management of critical process equipment to ensure it is designed and installed correctly, and that it operates and is maintained properly (i.e. no leaks and all elements are fit for service).<br/><br/>It is great that the mining operations will bring jobs to the local communities. It is great that the company will pay taxes and fees to government entities. But let mining not be a race to the bottom. Let us not compete with other countries, notably China, where mining operations are not well regulated and pollution is a guaranteed result of operations. We must insure that our own back yard is not turned into a waste land even if this puts mining operations at a competitive disadvantage with other countries.<br/><br/>Sincerely Yours,<br/><br/>Will Perry<br/>13415 Europa Ct N<br/>Unit 8<br/>Hugo, MN 55038<br/>6512460084<br/>"
1,DOS-2017-0009-0061,comments,{'self': 'https://api.regulations.gov/v4/comments/DOS-2017-0009-0061'},"{'commentOn': '09000064824b8c55', 'commentOnDocumentId': 'DOS-2017-0009-0001', 'duplicateComments': 0, 'address1': None, 'address2': None, 'agencyId': 'DOS', 'city': None, 'category': None, 'comment': 'I would love to get away from or cut down on the need of oil. However, at this point, oil is greatly needed in everyday use. Not just for driving, but paint, plastics, etc. Because we need oil, the best way to transport it is pipelines. It way look like it harms the environment during construction, but in the big picture it is better than the constant train and semi traffic.   ', 'country': None, 'displayProperties': [{'name': 'pageCount', 'label': 'Page Count', 'tooltip': 'Number of pages In the content file'}], 'docAbstract': None, 'docketId': 'DOS-2017-0009', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': 'Anonymous', 'govAgency': None, 'govAgencyType': None, 'objectId': '09000064824dfc47', 'lastName': 'Anonymous', 'legacyId': None, 'modifyDate': '2017-03-02T19:12:47Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 1, 'phone': None, 'postedDate': '2017-03-02T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2017-02-28T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': None, 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': None, 'title': 'Comment on DOS-2017-0009-0001', 'trackingNbr': '1k1-8uzq-4o6x', 'withdrawn': False, 'zip': None, 'openForComment': False}","{'attachments': {'links': {'self': 'https://api.regulations.gov/v4/comments/DOS-2017-0009-0061/relationships/attachments', 'related': 'https://api.regulations.gov/v4/comments/DOS-2017-0009-0061/attachments'}}}","I would love to get away from or cut down on the need of oil. However, at this point, oil is greatly needed in everyday use. Not just for driving, but paint, plastics, etc. Because we need oil, the best way to transport it is pipelines. It way look like it harms the environment during construction, but in the big picture it is better than the constant train and semi traffic.   "
2,FDA-2016-D-4414-0254,comments,{'self': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0254'},"{'commentOn': '090000648244c81e', 'commentOnDocumentId': 'FDA-2016-D-4414-0002', 'duplicateComments': 1, 'address1': None, 'address2': None, 'agencyId': 'FDA', 'city': None, 'category': 'Private Industry - C0003', 'comment': ""I join with the Honey and Pollination Center, Robert Mondavi Institute, UC Davis, the Pollinator Stewardship Council, and the American Honey Producers Association, to express concern of the FDA requirement for packaged honey to include a nutrition label listing both &quot;Total Sugars&quot; and &quot;Added Sugars.&quot;<br/> This requirement does not distinguish between the two sugar types. Therefore, labels will need to include the same amount of grams of sugar under each category e.g. &quot;17 grams of Total Sugar&quot; and &quot;17 grams of Added Sugars.&quot;<br/> Not only is this confusing for consumers, it is also incorrect. There are no added sugars in pure honey. Honey is a totally natural product.<br/><span style='padding-left: 30px'></span>As stated in 21 US Code 342 (b)(4), &quot;A food shall be deemed to be adulterated... if any substance has been added thereto or mixed or packed therewith so as to...make it appear better or of greater value than it is.&quot;<br/> If consumers are informed through the Nutrition Facts label that honey contains &quot;Added Sugars&quot; then consumers may be led to believe that honey is adulterated, by the regulatory definition, with sugars added to develop or enhance its sweetness."", 'country': None, 'displayProperties': None, 'docAbstract': None, 'docketId': 'FDA-2016-D-4414', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': None, 'govAgency': None, 'govAgencyType': None, 'objectId': '09000064824e50c6', 'lastName': None, 'legacyId': None, 'modifyDate': '2017-03-02T17:15:55Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 0, 'phone': None, 'postedDate': '2017-03-02T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2017-03-01T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': None, 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Electronic Regulation from Form', 'title': 'Comment from Elena Mudrak', 'trackingNbr': '1k1-8v0j-jmxy', 'withdrawn': False, 'zip': None, 'openForComment': False}","{'attachments': {'links': {'self': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0254/relationships/attachments', 'related': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0254/attachments'}}}","I join with the Honey and Pollination Center, Robert Mondavi Institute, UC Davis, the Pollinator Stewardship Council, and the American Honey Producers Association, to express concern of the FDA requirement for packaged honey to include a nutrition label listing both &quot;Total Sugars&quot; and &quot;Added Sugars.&quot;<br/> This requirement does not distinguish between the two sugar types. Therefore, labels will need to include the same amount of grams of sugar under each category e.g. &quot;17 grams of Total Sugar&quot; and &quot;17 grams of Added Sugars.&quot;<br/> Not only is this confusing for consumers, it is also incorrect. There are no added sugars in pure honey. Honey is a totally natural product.<br/><span style='padding-left: 30px'></span>As stated in 21 US Code 342 (b)(4), &quot;A food shall be deemed to be adulterated... if any substance has been added thereto or mixed or packed therewith so as to...make it appear better or of greater value than it is.&quot;<br/> If consumers are informed through the Nutrition Facts label that honey contains &quot;Added Sugars&quot; then consumers may be led to believe that honey is adulterated, by the regulatory definition, with sugars added to develop or enhance its sweetness."
3,FDA-2016-D-4414-0268,comments,{'self': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0268'},"{'commentOn': '090000648244c81e', 'commentOnDocumentId': 'FDA-2016-D-4414-0002', 'duplicateComments': 1, 'address1': None, 'address2': None, 'agencyId': 'FDA', 'city': None, 'category': 'Individual Consumer', 'comment': 'My comment is related to the wording being purposed for labeling which effects labeling of honey.<br/>This FDA rule will lead consumers to believe that honey is adulterated when in fact pure, natural honey contains no added sugars whatsoever.   <br/><br/>Consumers will be confused by this proposed label language.  The implication that honey may be adulterated (as clearly suggested by this proposed labeling which states honey contains &quot;added sugars&quot;) is of great concern as it will likely create an unnecessary negative perception of our product. <br/><br/>While it is recognized that honey may be a source of sugar added to foods, there is nothing added to pure honey that is packaged as such.<br/><br/>It would be much more logical and prudent if the FDA would consider listing the naturally occurring sugar content of 100% pure honey as &quot;Total Sugars&quot; and not &quot;Added Sugars.&quot;', 'country': 'United States', 'displayProperties': None, 'docAbstract': None, 'docketId': 'FDA-2016-D-4414', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': None, 'govAgency': None, 'govAgencyType': None, 'objectId': '09000064824e5213', 'lastName': None, 'legacyId': None, 'modifyDate': '2017-03-02T17:15:57Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 0, 'phone': None, 'postedDate': '2017-03-02T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2017-03-01T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': 'IA', 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Electronic Regulation from Form', 'title': 'Comment from Rebecca Marshall', 'trackingNbr': '1k1-8v0k-k2zf', 'withdrawn': False, 'zip': None, 'openForComment': False}","{'attachments': {'links': {'self': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0268/relationships/attachments', 'related': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0268/attachments'}}}","My comment is related to the wording being purposed for labeling which effects labeling of honey.<br/>This FDA rule will lead consumers to believe that honey is adulterated when in fact pure, natural honey contains no added sugars whatsoever.   <br/><br/>Consumers will be confused by this proposed label language.  The implication that honey may be adulterated (as clearly suggested by this proposed labeling which states honey contains &quot;added sugars&quot;) is of great concern as it will likely create an unnecessary negative perception of our product. <br/><br/>While it is recognized that honey may be a source of sugar added to foods, there is nothing added to pure honey that is packaged as such.<br/><br/>It would be much more logical and prudent if the FDA would consider listing the naturally occurring sugar content of 100% pure honey as &quot;Total Sugars&quot; and not &quot;Added Sugars.&quot;"
4,DOT-OST-2016-0204-56529,comments,{'self': 'https://api.regulations.gov/v4/comments/DOT-OST-2016-0204-56529'},"{'commentOn': '090000648235e037', 'commentOnDocumentId': 'DOT-OST-2016-0204-0002', 'duplicateComments': 0, 'address1': None, 'address2': None, 'agencyId': 'DOT', 'city': None, 'category': None, 'comment': 'When I book travel, I often use comparison websites to search and purchase airline tickets.  I rely on the convenience of finding all my options on one screen.  Plus, when airlines know their fares will be listed next to their competitors, they will be more likely to offer a competitive price. <br/><br/>It&#39;s come to my attention that some airlines are trying to make it harder for me to see all my options by restricting certain websites from publishing fare and schedule information. They shouldn&#39;t get to pick and choose who can share information that&#39;s already publicly available.  We need more transparency in the marketplace, not less.', 'country': None, 'displayProperties': None, 'docAbstract': None, 'docketId': 'DOT-OST-2016-0204', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': 'Brenda', 'govAgency': None, 'govAgencyType': None, 'objectId': '09000064824e543b', 'lastName': 'Johnson', 'legacyId': None, 'modifyDate': '2017-03-02T14:19:31Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 0, 'phone': None, 'postedDate': '2017-03-02T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2017-03-01T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': None, 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Comment(s)', 'title': 'Comment from Brenda Johnson', 'trackingNbr': '1k1-8v0n-wpla', 'withdrawn': False, 'zip': None, 'openForComment': False}","{'attachments': {'links': {'self': 'https://api.regulations.gov/v4/comments/DOT-OST-2016-0204-56529/relationships/attachments', 'related': 'https://api.regulations.gov/v4/comments/DOT-OST-2016-0204-56529/attachments'}}}","When I book travel, I often use comparison websites to search and purchase airline tickets.  I rely on the convenience of finding all my options on one screen.  Plus, when airlines know their fares will be listed next to their competitors, they will be more likely to offer a competitive price. <br/><br/>It&#39;s come to my attention that some airlines are trying to make it harder for me to see all my options by restricting certain websites from publishing fare and schedule information. They shouldn&#39;t get to pick and choose who can share information that&#39;s already publicly available.  We need more transparency in the marketplace, not less."
5,FDA-2016-D-4414-0279,comments,{'self': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0279'},"{'commentOn': '090000648244c81e', 'commentOnDocumentId': 'FDA-2016-D-4414-0002', 'duplicateComments': 1, 'address1': None, 'address2': None, 'agencyId': 'FDA', 'city': None, 'category': 'Private Industry - C0003', 'comment': 'I would like to see truth in labeling with no misunderstanding. posting added sugars is misleading to fact that there are no sugars added to pure raw honey.I think total sugars would be correct in informing  the sugar content.', 'country': 'United States', 'displayProperties': None, 'docAbstract': None, 'docketId': 'FDA-2016-D-4414', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': None, 'govAgency': None, 'govAgencyType': None, 'objectId': '09000064824e5279', 'lastName': None, 'legacyId': None, 'modifyDate': '2017-03-02T17:15:59Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 0, 'phone': None, 'postedDate': '2017-03-02T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2017-03-01T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': 'KS', 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Electronic Regulation from Form', 'title': 'Comment from Bill Koelzer', 'trackingNbr': '1k1-8v0l-ryg6', 'withdrawn': False, 'zip': None, 'openForComment': False}","{'attachments': {'links': {'self': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0279/relationships/attachments', 'related': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0279/attachments'}}}",I would like to see truth in labeling with no misunderstanding. posting added sugars is misleading to fact that there are no sugars added to pure raw honey.I think total sugars would be correct in informing  the sugar content.
6,FDA-2016-D-4414-0310,comments,{'self': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0310'},"{'commentOn': '090000648244c81e', 'commentOnDocumentId': 'FDA-2016-D-4414-0002', 'duplicateComments': 1, 'address1': None, 'address2': None, 'agencyId': 'FDA', 'city': None, 'category': 'Individual Consumer', 'comment': 'This labeling change will create confusion for the consumer and harm the beekeeping industry and bees themselves. It will not halve any good effects. ', 'country': None, 'displayProperties': None, 'docAbstract': None, 'docketId': 'FDA-2016-D-4414', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': None, 'govAgency': None, 'govAgencyType': None, 'objectId': '09000064824e53a3', 'lastName': None, 'legacyId': None, 'modifyDate': '2017-03-02T19:10:17Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 0, 'phone': None, 'postedDate': '2017-03-02T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2017-03-01T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': None, 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Electronic Regulation from Form', 'title': 'Comment from Alanna Bass', 'trackingNbr': '1k1-8v0m-xjjb', 'withdrawn': False, 'zip': None, 'openForComment': False}","{'attachments': {'links': {'self': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0310/relationships/attachments', 'related': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0310/attachments'}}}",This labeling change will create confusion for the consumer and harm the beekeeping industry and bees themselves. It will not halve any good effects. 
7,FDA-2016-D-4414-0343,comments,{'self': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0343'},"{'commentOn': '090000648244c81e', 'commentOnDocumentId': 'FDA-2016-D-4414-0002', 'duplicateComments': 1, 'address1': None, 'address2': None, 'agencyId': 'FDA', 'city': None, 'category': 'Individual Consumer', 'comment': 'It amazes me that you, the FDA would require added sugars on a honey label. Honey is a natural sweetener made from the nectar of various flowers. With this addition to already overwhelming restrictions it makes it hard for a small time beekeeper to be able to bottle and sell honey. The addition of added sugars on a honey label will only add to more confusion on the part of the consumer. Please rethink this and exempt honey from this requirement. Thank you.', 'country': None, 'displayProperties': None, 'docAbstract': None, 'docketId': 'FDA-2016-D-4414', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': None, 'govAgency': None, 'govAgencyType': None, 'objectId': '09000064824e545b', 'lastName': None, 'legacyId': None, 'modifyDate': '2017-03-02T21:09:27Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 0, 'phone': None, 'postedDate': '2017-03-02T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2017-03-01T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': None, 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Electronic Regulation from Form', 'title': 'Comment from Anonymous', 'trackingNbr': '1k1-8v0n-jbpx', 'withdrawn': False, 'zip': None, 'openForComment': False}","{'attachments': {'links': {'self': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0343/relationships/attachments', 'related': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0343/attachments'}}}","It amazes me that you, the FDA would require added sugars on a honey label. Honey is a natural sweetener made from the nectar of various flowers. With this addition to already overwhelming restrictions it makes it hard for a small time beekeeper to be able to bottle and sell honey. The addition of added sugars on a honey label will only add to more confusion on the part of the consumer. Please rethink this and exempt honey from this requirement. Thank you."
8,DOT-OST-2016-0204-56553,comments,{'self': 'https://api.regulations.gov/v4/comments/DOT-OST-2016-0204-56553'},"{'commentOn': '090000648235e037', 'commentOnDocumentId': 'DOT-OST-2016-0204-0002', 'duplicateComments': 0, 'address1': None, 'address2': None, 'agencyId': 'DOT', 'city': None, 'category': None, 'comment': 'When I book travel, I often use comparison websites to search and purchase airline tickets.  I rely on the convenience of finding all my options on one screen.  Plus, when airlines know their fares will be listed next to their competitors, they will be more likely to offer a competitive price. <br/><br/>It&#39;s come to my attention that some airlines are trying to make it harder for me to see all my options by restricting certain websites from publishing fare and schedule information. They shouldn&#39;t get to pick and choose who can share information that&#39;s already publicly available.  We need more transparency in the marketplace, not less.', 'country': None, 'displayProperties': None, 'docAbstract': None, 'docketId': 'DOT-OST-2016-0204', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': 'Sam', 'govAgency': None, 'govAgencyType': None, 'objectId': '09000064824e597d', 'lastName': 'Bell Jr', 'legacyId': None, 'modifyDate': '2017-03-02T14:19:35Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 0, 'phone': None, 'postedDate': '2017-03-02T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2017-03-01T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': None, 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Comment(s)', 'title': 'Comment from Sam Bell Jr', 'trackingNbr': '1k1-8v0q-ck5g', 'withdrawn': False, 'zip': None, 'openForComment': False}","{'attachments': {'links': {'self': 'https://api.regulations.gov/v4/comments/DOT-OST-2016-0204-56553/relationships/attachments', 'related': 'https://api.regulations.gov/v4/comments/DOT-OST-2016-0204-56553/attachments'}}}","When I book travel, I often use comparison websites to search and purchase airline tickets.  I rely on the convenience of finding all my options on one screen.  Plus, when airlines know their fares will be listed next to their competitors, they will be more likely to offer a competitive price. <br/><br/>It&#39;s come to my attention that some airlines are trying to make it harder for me to see all my options by restricting certain websites from publishing fare and schedule information. They shouldn&#39;t get to pick and choose who can share information that&#39;s already publicly available.  We need more transparency in the marketplace, not less."
9,FDA-2016-D-4414-0365,comments,{'self': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0365'},"{'commentOn': '090000648244c81e', 'commentOnDocumentId': 'FDA-2016-D-4414-0002', 'duplicateComments': 1, 'address1': None, 'address2': None, 'agencyId': 'FDA', 'city': None, 'category': 'Food Association - D0017', 'comment': ' I am responding to labeling the honey that I harvest from my hives. Honey is a staple. It is a lowest common ingredient. I think it is obsurd to ask for &quot;added sugar&quot; be to a label. What 2 regulations are you going to remove for us to add &quot;added sugar&quot; to the label. What about microscopic wax, propolis, pollen, bee larva, bee body parts, and bee vomet, which are in honey I harvest. If FDA passes this, it will not make America Great Again and I&#39;m going to tell President Trump!', 'country': None, 'displayProperties': None, 'docAbstract': None, 'docketId': 'FDA-2016-D-4414', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': None, 'govAgency': None, 'govAgencyType': None, 'objectId': '09000064824e587d', 'lastName': None, 'legacyId': None, 'modifyDate': '2017-03-02T21:09:30Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 0, 'phone': None, 'postedDate': '2017-03-02T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2017-03-01T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': None, 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Electronic Regulation from Form', 'title': 'Comment from D Migneault', 'trackingNbr': '1k1-8v0p-gv1l', 'withdrawn': False, 'zip': None, 'openForComment': False}","{'attachments': {'links': {'self': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0365/relationships/attachments', 'related': 'https://api.regulations.gov/v4/comments/FDA-2016-D-4414-0365/attachments'}}}"," I am responding to labeling the honey that I harvest from my hives. Honey is a staple. It is a lowest common ingredient. I think it is obsurd to ask for &quot;added sugar&quot; be to a label. What 2 regulations are you going to remove for us to add &quot;added sugar&quot; to the label. What about microscopic wax, propolis, pollen, bee larva, bee body parts, and bee vomet, which are in honey I harvest. If FDA passes this, it will not make America Great Again and I&#39;m going to tell President Trump!"
