id,links,attributes,docketId,comment,desc,support,gpt_answer
AMS-FV-11-0069-0006,{'self': 'https://api.regulations.gov/v4/comments/AMS-FV-11-0069-0006'},"{'commentOn': '09000064811a1ebd', 'commentOnDocumentId': 'AMS-FV-11-0069-0001', 'duplicateComments': 0, 'address1': None, 'address2': None, 'agencyId': 'AMS', 'city': 'Salt Lake City', 'category': None, 'comment': 'So far, I can see two comments on this proposal.  One against and one for.  Be sure to note that the one for is a NON-PROFIT organization.  <br/>As the CFO of a FOR-PROFIT organization - the kind that pays taxes, this is a very bad proposal.  Please allow the individual companies determine how they will advertise their own products.  We need less government involvement, not more.  In my specific example, I will decide the best return that I will get for my expenses.  A tax transfers that decision to a bureaucratic format.  I import specific paper for a very specific purpose.  Our paper is intended to be kept forever.  It would be impossible for the scope of advertising achieved by the USDA to reach my end consumer, or even the retailer.  Please allow me to choose how to spend my dollars.  <br/>Also, please keep in mind that most companies are EXTREMELY busy trying to achieve a profit.  Therefore, this type of proposals may not receive many comments.  I feel all comments NOT made should be automatically counted as a vote against the proposal.  If someone is in favor of the proposal, they will comment, but if someone is not, they may not comment due to outside constraints.  Please consider this a comment agains the proposal for all those who don&#39;t even have the time to make a comment.  ', 'country': 'United States', 'displayProperties': [{'name': 'pageCount', 'label': 'Page Count', 'tooltip': 'Number of pages In the content file'}], 'docAbstract': None, 'docketId': 'AMS-FV-11-0069', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': 'Steve', 'govAgency': None, 'govAgencyType': None, 'objectId': '09000064811c3c9a', 'lastName': 'Bouck', 'legacyId': None, 'modifyDate': '2013-01-18T18:59:22Z', 'organization': 'We R, LLC', 'originalDocumentId': None, 'pageCount': 0, 'phone': None, 'postedDate': '2013-01-18T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2013-01-17T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': 'UT', 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Comment(s)', 'title': 'Bouck, Steve: We R, LLC', 'trackingNbr': '1jx-835s-8l1f', 'withdrawn': False, 'zip': None, 'openForComment': False}",AMS-FV-11-0069,"So far, I can see two comments on this proposal.  One against and one for.  Be sure to note that the one for is a NON-PROFIT organization.  <br/>As the CFO of a FOR-PROFIT organization - the kind that pays taxes, this is a very bad proposal.  Please allow the individual companies determine how they will advertise their own products.  We need less government involvement, not more.  In my specific example, I will decide the best return that I will get for my expenses.  A tax transfers that decision to a bureaucratic format.  I import specific paper for a very specific purpose.  Our paper is intended to be kept forever.  It would be impossible for the scope of advertising achieved by the USDA to reach my end consumer, or even the retailer.  Please allow me to choose how to spend my dollars.  <br/>Also, please keep in mind that most companies are EXTREMELY busy trying to achieve a profit.  Therefore, this type of proposals may not receive many comments.  I feel all comments NOT made should be automatically counted as a vote against the proposal.  If someone is in favor of the proposal, they will comment, but if someone is not, they may not comment due to outside constraints.  Please consider this a comment agains the proposal for all those who don&#39;t even have the time to make a comment.  ",,0,0
AMS-NOP-15-0012-59916,{'self': 'https://api.regulations.gov/v4/comments/AMS-NOP-15-0012-59916'},"{'commentOn': '0900006482d30216', 'commentOnDocumentId': 'AMS-NOP-15-0012-6686', 'duplicateComments': 0, 'address1': None, 'address2': None, 'agencyId': 'AMS', 'city': 'Olympia', 'category': None, 'comment': 'I do not believe that enclosed, concrete porches are &quot;outdoor access.&quot; Organic farms should offer the sunlight, soil, grass and room to move that animals deserve and which the Organic Livestock and Poultry Practices rule requires. Do not withdraw the OLPP rule.', 'country': 'United States', 'displayProperties': [{'name': 'pageCount', 'label': 'Page Count', 'tooltip': 'Number of pages In the content file'}], 'docAbstract': None, 'docketId': 'AMS-NOP-15-0012', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': 'Dannie', 'govAgency': None, 'govAgencyType': None, 'objectId': '0900006482d9bf5f', 'lastName': 'Libby', 'legacyId': None, 'modifyDate': '2018-01-08T14:27:43Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 1, 'phone': None, 'postedDate': '2018-01-08T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2018-01-05T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': 'WA', 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Comment(s)', 'title': 'Libby, Dannie: ', 'trackingNbr': '1k2-90r4-9rzr', 'withdrawn': False, 'zip': None, 'openForComment': False}",AMS-NOP-15-0012,"I do not believe that enclosed, concrete porches are &quot;outdoor access.&quot; Organic farms should offer the sunlight, soil, grass and room to move that animals deserve and which the Organic Livestock and Poultry Practices rule requires. Do not withdraw the OLPP rule.",,0,1
AMS-NOP-15-0012-59984,{'self': 'https://api.regulations.gov/v4/comments/AMS-NOP-15-0012-59984'},"{'commentOn': '0900006482d30216', 'commentOnDocumentId': 'AMS-NOP-15-0012-6686', 'duplicateComments': 0, 'address1': None, 'address2': None, 'agencyId': 'AMS', 'city': 'North Plainfield', 'category': None, 'comment': 'Please do not withdraw the Organic Livestock and Poultry Practices (OLPP) rule. Withdrawing the OLPP would endanger animals, ruin the credibility of the Organic label and threaten the livelihoods of responsible organic farmers across the country.', 'country': 'United States', 'displayProperties': [{'name': 'pageCount', 'label': 'Page Count', 'tooltip': 'Number of pages In the content file'}], 'docAbstract': None, 'docketId': 'AMS-NOP-15-0012', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': 'Gabriela', 'govAgency': None, 'govAgencyType': None, 'objectId': '0900006482d9c7e5', 'lastName': 'Almeida-Altamirano', 'legacyId': None, 'modifyDate': '2018-01-08T14:28:02Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 1, 'phone': None, 'postedDate': '2018-01-08T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2018-01-05T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': 'NJ', 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Comment(s)', 'title': 'Almeida-Altamirano, Gabriela: ', 'trackingNbr': '1k2-90r4-sa07', 'withdrawn': False, 'zip': None, 'openForComment': False}",AMS-NOP-15-0012,"Please do not withdraw the Organic Livestock and Poultry Practices (OLPP) rule. Withdrawing the OLPP would endanger animals, ruin the credibility of the Organic label and threaten the livelihoods of responsible organic farmers across the country.",,0,1
AMS-NOP-15-0012-60184,{'self': 'https://api.regulations.gov/v4/comments/AMS-NOP-15-0012-60184'},"{'commentOn': '0900006482d30216', 'commentOnDocumentId': 'AMS-NOP-15-0012-6686', 'duplicateComments': 0, 'address1': None, 'address2': None, 'agencyId': 'AMS', 'city': 'Houston', 'category': None, 'comment': 'The Organic standards require access to the outdoors, meaning animals should spend time outside, with the sun on their backs and grass beneath their feet, not living their lives in enclosed, concrete runs. That is what I expect and what animals deserve. I oppose USDA&#39;s proposal to withdraw the Organic Livestock Poultry Practices final rule - a rule which would finally define outdoor access so organic farms would be held to a more uniform standard to accommodate animals&#39; natural needs.', 'country': 'United States', 'displayProperties': [{'name': 'pageCount', 'label': 'Page Count', 'tooltip': 'Number of pages In the content file'}], 'docAbstract': None, 'docketId': 'AMS-NOP-15-0012', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': 'Kelly', 'govAgency': None, 'govAgencyType': None, 'objectId': '0900006482d9c9ea', 'lastName': 'Hales', 'legacyId': None, 'modifyDate': '2018-01-08T14:29:02Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 1, 'phone': None, 'postedDate': '2018-01-08T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2018-01-05T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': 'TX', 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Comment(s)', 'title': 'Hales, Kelly: ', 'trackingNbr': '1k2-90r4-chku', 'withdrawn': False, 'zip': None, 'openForComment': False}",AMS-NOP-15-0012,"The Organic standards require access to the outdoors, meaning animals should spend time outside, with the sun on their backs and grass beneath their feet, not living their lives in enclosed, concrete runs. That is what I expect and what animals deserve. I oppose USDA&#39;s proposal to withdraw the Organic Livestock Poultry Practices final rule - a rule which would finally define outdoor access so organic farms would be held to a more uniform standard to accommodate animals&#39; natural needs.",,0,1
AMS-NOP-15-0012-60234,{'self': 'https://api.regulations.gov/v4/comments/AMS-NOP-15-0012-60234'},"{'commentOn': '0900006482d30216', 'commentOnDocumentId': 'AMS-NOP-15-0012-6686', 'duplicateComments': 0, 'address1': None, 'address2': None, 'agencyId': 'AMS', 'city': 'Portsmouth', 'category': None, 'comment': 'I oppose the withdrawal of the Organic Livestock and Poultry Practices final rule. The proposed withdrawal favors a few businesses that deny animals outdoor access and ignores the millions of members of the public who care about farm animals&#39; welfare and expect a higher standard from the Organic label. Withdrawing the rule, at this stage, would endanger animals and ruin the credibility of the Organic label.', 'country': 'United States', 'displayProperties': [{'name': 'pageCount', 'label': 'Page Count', 'tooltip': 'Number of pages In the content file'}], 'docAbstract': None, 'docketId': 'AMS-NOP-15-0012', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': 'Vicki', 'govAgency': None, 'govAgencyType': None, 'objectId': '0900006482d9cddf', 'lastName': 'Gaffney', 'legacyId': None, 'modifyDate': '2018-01-08T14:29:16Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 1, 'phone': None, 'postedDate': '2018-01-08T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2018-01-05T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': 'VA', 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Comment(s)', 'title': 'Gaffney, Vicki: ', 'trackingNbr': '1k2-90r5-c2sg', 'withdrawn': False, 'zip': None, 'openForComment': False}",AMS-NOP-15-0012,"I oppose the withdrawal of the Organic Livestock and Poultry Practices final rule. The proposed withdrawal favors a few businesses that deny animals outdoor access and ignores the millions of members of the public who care about farm animals&#39; welfare and expect a higher standard from the Organic label. Withdrawing the rule, at this stage, would endanger animals and ruin the credibility of the Organic label.",,0,0
AMS-NOP-15-0012-60248,{'self': 'https://api.regulations.gov/v4/comments/AMS-NOP-15-0012-60248'},"{'commentOn': '0900006482d30216', 'commentOnDocumentId': 'AMS-NOP-15-0012-6686', 'duplicateComments': 0, 'address1': None, 'address2': None, 'agencyId': 'AMS', 'city': 'Los Angeles', 'category': None, 'comment': 'Please do not withdraw the Organic Livestock and Poultry Practices rule. The USDA should be committing itself to a more humane food system and fulfilling its responsibility to ensure that organic farm conditions meet the spirit of the Organic program and match consumer expectations of strong animal welfare. Withdrawing these rules would jeopardize animal welfare and threaten the credibility of the Organic label.', 'country': 'United States', 'displayProperties': [{'name': 'pageCount', 'label': 'Page Count', 'tooltip': 'Number of pages In the content file'}], 'docAbstract': None, 'docketId': 'AMS-NOP-15-0012', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': 'Michelle', 'govAgency': None, 'govAgencyType': None, 'objectId': '0900006482d9ca92', 'lastName': 'Chin', 'legacyId': None, 'modifyDate': '2018-01-08T14:29:21Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 1, 'phone': None, 'postedDate': '2018-01-08T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2018-01-05T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': 'CA', 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Comment(s)', 'title': 'Chin, Michelle: ', 'trackingNbr': '1k2-90r5-iqkp', 'withdrawn': False, 'zip': None, 'openForComment': False}",AMS-NOP-15-0012,Please do not withdraw the Organic Livestock and Poultry Practices rule. The USDA should be committing itself to a more humane food system and fulfilling its responsibility to ensure that organic farm conditions meet the spirit of the Organic program and match consumer expectations of strong animal welfare. Withdrawing these rules would jeopardize animal welfare and threaten the credibility of the Organic label.,,0,1
AMS-NOP-15-0012-60267,{'self': 'https://api.regulations.gov/v4/comments/AMS-NOP-15-0012-60267'},"{'commentOn': '0900006482d30216', 'commentOnDocumentId': 'AMS-NOP-15-0012-6686', 'duplicateComments': 0, 'address1': None, 'address2': None, 'agencyId': 'AMS', 'city': 'Spokane', 'category': None, 'comment': 'It&#39;s the USDA&#39;s job to ensure organic products meet a strong and consistent standard. For that reason I oppose the proposed withdrawal of the Organic Livestock and Poultry Practices final rule. Withdrawing the rule will weaken the Organic label and endanger the more than 100 million animals raised on organic farms each year.', 'country': 'United States', 'displayProperties': [{'name': 'pageCount', 'label': 'Page Count', 'tooltip': 'Number of pages In the content file'}], 'docAbstract': None, 'docketId': 'AMS-NOP-15-0012', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': 'Ben', 'govAgency': None, 'govAgencyType': None, 'objectId': '0900006482d9cab0', 'lastName': 'Rall', 'legacyId': None, 'modifyDate': '2018-01-08T14:29:26Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 1, 'phone': None, 'postedDate': '2018-01-08T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2018-01-05T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': 'WA', 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Comment(s)', 'title': 'Rall, Ben: ', 'trackingNbr': '1k2-90r5-vv9p', 'withdrawn': False, 'zip': None, 'openForComment': False}",AMS-NOP-15-0012,It&#39;s the USDA&#39;s job to ensure organic products meet a strong and consistent standard. For that reason I oppose the proposed withdrawal of the Organic Livestock and Poultry Practices final rule. Withdrawing the rule will weaken the Organic label and endanger the more than 100 million animals raised on organic farms each year.,,0,1
AMS-NOP-15-0012-60272,{'self': 'https://api.regulations.gov/v4/comments/AMS-NOP-15-0012-60272'},"{'commentOn': '0900006482d30216', 'commentOnDocumentId': 'AMS-NOP-15-0012-6686', 'duplicateComments': 0, 'address1': None, 'address2': None, 'agencyId': 'AMS', 'city': 'Fincastle', 'category': None, 'comment': 'I strongly oppose the proposed withdrawal of the Organic Livestock and Poultry Practices final rule. Withdrawing the rule would be an assault on animals, consumers and responsible organic farmers. Animals on organic farms deserve better than to be crowded indoors in stressful conditions with no real outdoor access. This rule would provide for outdoor access and bring organic standards closer to consumers&#39; expectations. I urge the USDA to implement the rule.', 'country': 'United States', 'displayProperties': [{'name': 'pageCount', 'label': 'Page Count', 'tooltip': 'Number of pages In the content file'}], 'docAbstract': None, 'docketId': 'AMS-NOP-15-0012', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': 'carol', 'govAgency': None, 'govAgencyType': None, 'objectId': '0900006482d9ce6a', 'lastName': 'lipper', 'legacyId': None, 'modifyDate': '2018-01-08T14:29:27Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 1, 'phone': None, 'postedDate': '2018-01-08T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2018-01-05T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': 'VA', 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Comment(s)', 'title': 'lipper, carol: ', 'trackingNbr': '1k2-90r5-8qi9', 'withdrawn': False, 'zip': None, 'openForComment': False}",AMS-NOP-15-0012,"I strongly oppose the proposed withdrawal of the Organic Livestock and Poultry Practices final rule. Withdrawing the rule would be an assault on animals, consumers and responsible organic farmers. Animals on organic farms deserve better than to be crowded indoors in stressful conditions with no real outdoor access. This rule would provide for outdoor access and bring organic standards closer to consumers&#39; expectations. I urge the USDA to implement the rule.",,0,1
AMS-NOP-15-0012-60288,{'self': 'https://api.regulations.gov/v4/comments/AMS-NOP-15-0012-60288'},"{'commentOn': '0900006482d30216', 'commentOnDocumentId': 'AMS-NOP-15-0012-6686', 'duplicateComments': 0, 'address1': None, 'address2': None, 'agencyId': 'AMS', 'city': 'Portland', 'category': None, 'comment': 'I strongly oppose the proposed withdrawal of the Organic Livestock and Poultry Practices final rule. Withdrawing the rule would be an assault on animals, consumers and responsible organic farmers. Animals on organic farms deserve better than to be crowded indoors in stressful conditions with no real outdoor access. This rule would provide for outdoor access and bring organic standards closer to consumers&#39; expectations. I urge the USDA to implement the rule.', 'country': 'United States', 'displayProperties': [{'name': 'pageCount', 'label': 'Page Count', 'tooltip': 'Number of pages In the content file'}], 'docAbstract': None, 'docketId': 'AMS-NOP-15-0012', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': 'Mia', 'govAgency': None, 'govAgencyType': None, 'objectId': '0900006482d9cade', 'lastName': 'Ellis', 'legacyId': None, 'modifyDate': '2018-01-08T14:29:32Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 1, 'phone': None, 'postedDate': '2018-01-08T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2018-01-05T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': 'OR', 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Comment(s)', 'title': 'Ellis, Mia: ', 'trackingNbr': '1k2-90r5-gkkp', 'withdrawn': False, 'zip': None, 'openForComment': False}",AMS-NOP-15-0012,"I strongly oppose the proposed withdrawal of the Organic Livestock and Poultry Practices final rule. Withdrawing the rule would be an assault on animals, consumers and responsible organic farmers. Animals on organic farms deserve better than to be crowded indoors in stressful conditions with no real outdoor access. This rule would provide for outdoor access and bring organic standards closer to consumers&#39; expectations. I urge the USDA to implement the rule.",,0,1
AMS-NOP-15-0012-60289,{'self': 'https://api.regulations.gov/v4/comments/AMS-NOP-15-0012-60289'},"{'commentOn': '0900006482d30216', 'commentOnDocumentId': 'AMS-NOP-15-0012-6686', 'duplicateComments': 0, 'address1': None, 'address2': None, 'agencyId': 'AMS', 'city': 'Sedgwick', 'category': None, 'comment': 'Please do not withdraw the Organic Livestock and Poultry Practices rule. The USDA should be committing itself to a more humane food system and fulfilling its responsibility to ensure that organic farm conditions meet the spirit of the Organic program and match consumer expectations of strong animal welfare. Withdrawing these rules would jeopardize animal welfare and threaten the credibility of the Organic label.', 'country': 'United States', 'displayProperties': [{'name': 'pageCount', 'label': 'Page Count', 'tooltip': 'Number of pages In the content file'}], 'docAbstract': None, 'docketId': 'AMS-NOP-15-0012', 'documentType': 'Public Submission', 'email': None, 'fax': None, 'field1': None, 'field2': None, 'fileFormats': None, 'firstName': 'Amber', 'govAgency': None, 'govAgencyType': None, 'objectId': '0900006482d9caf3', 'lastName': 'Norris', 'legacyId': None, 'modifyDate': '2018-01-08T14:29:32Z', 'organization': None, 'originalDocumentId': None, 'pageCount': 1, 'phone': None, 'postedDate': '2018-01-08T05:00:00Z', 'postmarkDate': None, 'reasonWithdrawn': None, 'receiveDate': '2018-01-05T05:00:00Z', 'restrictReason': None, 'restrictReasonType': None, 'stateProvinceRegion': 'KS', 'submitterRep': None, 'submitterRepAddress': None, 'submitterRepCityState': None, 'subtype': 'Comment(s)', 'title': 'Norris, Amber: ', 'trackingNbr': '1k2-90r5-qvkv', 'withdrawn': False, 'zip': None, 'openForComment': False}",AMS-NOP-15-0012,Please do not withdraw the Organic Livestock and Poultry Practices rule. The USDA should be committing itself to a more humane food system and fulfilling its responsibility to ensure that organic farm conditions meet the spirit of the Organic program and match consumer expectations of strong animal welfare. Withdrawing these rules would jeopardize animal welfare and threaten the credibility of the Organic label.,,0,1
